Duration,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Engagement_Score,Month,DayOfWeek,Num_Channels,Campaign_Type_Influencer,Campaign_Type_Paid Ads,Campaign_Type_SEO,Campaign_Type_Social Media,Target_Audience_Premium Shoppers,Target_Audience_Tier 2 City Customers,Target_Audience_Working Women,Target_Audience_Youth,Language_English,Language_Hindi,Language_Tamil,Customer_Segment_Premium Shoppers,Customer_Segment_Tier 2 City Customers,Customer_Segment_Working Women,Customer_Segment_Youth
17,66210,5609,2776,1529,518331,101.69,2.33,14.97,5,4,2,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
10,29278,3293,1504,1073,716764,254.52,1.62,20.05,4,0,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
30,35430,4351,1006,682,403062,165.63,2.57,17.04,4,5,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
14,13214,530,213,156,118872,1568.28,-0.51,6.8,9,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
20,54685,5423,2255,1052,724828,279.17,1.47,15.96,1,6,1,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
15,40445,2689,1201,814,351648,75.35,4.73,11.63,11,1,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
18,45821,2552,965,733,433936,245.74,1.41,9.28,12,4,2,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
9,51791,2432,1287,638,304326,421.13,0.13,8.41,5,3,1,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False
20,82365,9920,2972,2086,1410136,43.11,14.68,18.18,2,0,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
7,68867,5342,2966,1331,806586,174.47,2.47,14.0,7,5,3,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False
13,28582,2086,630,411,286467,590.9,0.18,10.94,3,6,1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
5,51059,4666,1088,708,489228,175.27,2.94,12.66,12,2,3,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
24,45295,1953,473,282,126618,1037.53,-0.57,5.98,12,3,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
18,17721,1182,499,348,244644,562.61,0.25,11.45,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
19,69264,4578,2686,1713,426537,68.25,2.65,12.96,10,3,1,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False
20,59293,3248,1030,375,159375,543.29,-0.22,7.85,3,1,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
21,95024,4526,2403,1110,698190,208.42,2.02,8.46,3,1,2,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False
9,90608,4315,1453,798,454860,278.28,1.05,7.25,4,4,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
23,82580,4262,1550,640,503040,111.02,6.08,7.81,2,4,3,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
30,63757,7705,2853,2135,1505175,121.85,4.79,19.91,7,1,3,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
30,11624,517,212,107,24182,602.61,-0.62,7.19,4,1,3,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
14,80088,8372,4336,1362,659208,164.45,1.94,17.57,12,6,2,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
22,19512,1861,467,154,69454,749.47,-0.4,12.72,6,4,1,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
17,88983,3681,1549,1150,326600,259.94,0.09,7.17,3,0,1,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
7,17111,1661,476,293,221801,926.14,-0.18,14.2,7,2,3,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
24,34872,2630,1328,742,389550,288.64,0.82,13.48,4,0,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10,25223,1517,427,205,151495,1092.03,-0.32,8.52,3,2,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
24,48451,4172,1639,744,575856,194.41,2.98,13.53,8,4,2,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
8,65218,3095,1207,605,203280,157.55,1.13,7.52,3,6,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
14,67143,6270,1563,996,367524,172.55,1.14,13.15,4,6,3,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False
15,52106,6537,3340,2149,530803,87.02,1.84,23.08,6,5,3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
16,47178,5999,1619,787,208555,108.26,1.45,17.82,9,3,3,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
20,36818,4147,1962,821,605077,285.43,1.58,18.82,10,2,2,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
29,43779,6115,2546,830,486380,147.54,2.97,21.68,8,5,3,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False
24,86278,8468,2627,894,313794,209.55,0.68,13.9,1,0,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
21,76182,5221,1153,369,255717,457.74,0.51,8.85,5,1,2,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True
6,19321,2135,842,668,315296,288.51,0.64,18.87,5,5,3,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
11,84073,8987,2501,1391,299065,200.36,0.07,15.32,2,0,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True
12,65938,3288,787,503,308842,584.84,0.05,6.94,11,3,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
15,74125,2515,789,398,280988,169.17,3.17,4.99,3,2,2,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
14,25506,1598,642,445,208260,621.85,-0.25,10.53,8,6,3,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
9,10381,1025,243,165,96690,1097.96,-0.47,13.8,4,0,3,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
6,90785,7279,3900,2596,1056572,43.42,8.37,15.17,12,1,1,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
25,60728,6390,3134,1810,1134870,110.2,4.69,18.66,2,3,3,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
7,16698,556,128,57,42123,3507.65,-0.79,4.44,6,3,1,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False
20,97242,14022,3371,2067,824733,26.59,14.0,20.01,9,4,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24,90982,3250,1622,1245,750735,142.18,3.24,6.72,2,0,2,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
26,32842,4033,1838,1444,1121988,191.29,3.06,22.27,11,4,3,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
28,32021,3377,1323,474,179172,395.56,-0.04,16.16,5,0,3,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False
15,36796,1581,774,302,89392,638.87,-0.54,7.22,11,5,1,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
9,12688,1029,579,357,234906,684.03,-0.04,15.49,6,5,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
21,84359,11028,3084,1901,1186224,40.64,14.35,18.98,5,5,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True
9,52151,4951,1155,718,464546,255.1,1.54,13.09,4,4,3,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
7,99006,13901,5326,2649,1491387,22.58,23.93,22.1,5,1,2,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
9,16548,1532,717,505,111100,231.54,-0.05,16.64,2,5,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
16,82471,5797,3251,1940,1369640,101.63,5.95,13.32,5,4,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
13,74621,4124,1052,353,110489,414.62,-0.25,7.41,8,3,3,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True
12,60166,7720,3135,1375,723250,184.29,1.85,20.33,3,6,2,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
14,23232,1381,498,269,101413,931.68,-0.6,9.25,5,6,1,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
14,61590,3296,700,331,241299,606.17,0.2,7.03,2,4,2,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True
25,45557,3992,1691,995,584065,291.77,1.01,14.66,8,3,1,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
20,75362,2209,1054,805,509565,355.08,0.78,5.4,3,6,1,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
5,18060,1179,300,113,23504,2337.42,-0.91,8.82,7,0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
26,64756,8778,2316,1252,373096,85.43,2.49,19.07,8,5,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
7,80324,5248,2799,1801,506081,35.88,6.83,12.26,1,1,3,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
25,87064,3404,1029,342,144666,375.62,0.13,5.48,4,0,1,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False
27,83040,4982,1900,1479,535398,130.18,1.78,10.07,10,3,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
30,43489,1996,1016,587,142641,379.31,-0.36,8.28,9,4,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
